"location","city","country","distance","measurements__parameter","measurements__value","measurements__lastUpdated","measurements__unit","measurements__sourceName","measurements__averagingPeriod__value","measurements__averagingPeriod__unit","coordinates__latitude","coordinates__longitude"
"","","","","pm10","14.2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","55.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","8.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R815 - ZWIJNDRECHT","Flanders","BE","3484508.7845393987","pm10","13.2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.2147","4.3322062"
"","","","","pm25","5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","8","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","1","2017-03-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R817 - ANTWERPEN","Flanders","BE","3478461.1355101615","no2","9.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.17713","4.4179487"
"","","","","pm25","4.65","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","14.2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R820 - KAPELLEN","Flanders","BE","3476902.621599735","so2","2.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.320415","4.4448104"
"","","","","no2","17","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R822 - ANTWERPEN","Flanders","BE","3483976.010548174","no2","23.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.26429","4.34128"
"","","","","so2","1","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R830 - DOEL","Flanders","BE","3489559.2271296433","so2","8","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.31823","4.262634"
"","","","","no2","4.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R831 - BERENDRECHT","Flanders","BE","3484272.4383104285","no2","11","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.348797","4.3397098"
"","","","","so2","1","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","54.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R834 - Boom","Flanders","BE","3480952.600409115","no2","12","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.092","4.3801036"
"","","","","pm25","4.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","13.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R841 - MECHELEN","Flanders","BE","3474578.5272676274","o3","3","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.002525","4.4693213"
"","","","","pm25","24.5","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","30.7","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","44.5","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R891 - ANTWERPEN","Flanders","BE","3480890.4772064392","no2","30","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.255806","4.38536"
"","","","","so2","11","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R892 - KALLO","Flanders","BE","3488315.1315368265","so2","2.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.26304","4.27889"
"","","","","no2","18","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R893 - ANTWERPEN","Flanders","BE","3480917.2453707233","so2","14.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.28138","4.385771"
"","","","","no2","42.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R894 - ANTWERPEN","Flanders","BE","3483445.1172235226","so2","3.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.2835","4.349496"
"","","","","no2","34.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R897 - ANTWERPEN","Flanders","BE","3483889.4098805366","so2","0","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.250107","4.3421044"
"","","","","no2","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43H201 - LIEGE","Wallonia","BE","3398188.1144903256","pm25","3.62","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.624992","5.5474644"
"","","","","pm10","10.771","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","0.5","2016-12-21T13:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43M204 - ANGLEUR","Wallonia","BE","3393669.4164609355","pm10","16.771","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.611923","5.61115"
"","","","","pm25","4.1035","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43N060 - HAVINNES","Wallonia","BE","3545659.696212799","co","12","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.61672","3.4576244"
"","","","","o3","49.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","5.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","0.719","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","10.271","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","1","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
